Source Tables,,,,,,,,Output Tables (using source inputs),,,,,,,,
Output Table,Source Table,Source Column,Type,Used for Transformation,Mapping Scenario Type,Comments,,Output Table,Source Table,Source Column,Type,Business Rule,,,,
,T1044_CASE,LAST_PMT_DT,DATE,,Default (Unused),,,VSORD,T1049_COURT_ORDER,INS_PROV_BY_CD,Char(4),,,,,
,T1044_CASE,CREDIT_BUR_CD,CHAR(4),,Default (Unused),,,VSORD,T1044_CASE,MED_SUP_ONLY_IND,Char(1),,,,,
,T1044_CASE,CREDIT_MAX_DLQ_NUM,"DECIMAL(4,0)",,Default (Unused),,,VSORD,T1044_CASE,WAGE_SUPPRESS_IND,Char(1),,,,,
,T1044_CASE,URESA_CONTACT_NAM,CHAR(17),,Default (Unused),,,VSORD,T1049_COURT_ORDER,MELSON_DEV_IND,Char(1),,,,,
,T1044_CASE,URESA_TYP_CD,CHAR(4),,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,,,
,T1044_CASE,URESA_TYP_EFF_DT,DATE,,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,,,
,T1044_CASE,INS_THRD_PRTY_CD,CHAR(4),,Default (Unused),,,VSORD,T1049_COURT_ORDER,ORIGINATING_ST_CD,Char(2),,,,,
,T1044_CASE,SPSL_SUP_INC_IND,CHAR(1),,Default (Unused),,,VSOBL,T1049_COURT_ORDER,CASE_NUM,"Numb(6,0)",,,,,
,T1044_CASE,RESP_WORKER_EFF_DT,DATE,,Default (Unused),,,VSOBL,T1052_ORD_CHLD_INC,MCI_NUM,"Numb(10,0)",,,,,
,T1044_CASE,URES_CASE_NUM,CHAR(15),,Default (Unused),,,VSOBL,VCMEM,MemberMci_IDNO,"Numb(10,0)",,,,,
,T1044_CASE,PMT_TYP_CD,CHAR(4),,Default (Unused),,,VSOBL,T1050_ORD_SUB_ACCT,SUB_TYP_CD,Char(6),,,,,
,T1044_CASE,PAY_OVERRIDE_IND,CHAR(1),,Default (Unused),,,VSOBL,T1048_SUB_ACCT,URESA_CD,"Numb(7,0)",,,,,
,T1044_CASE,CHARGE_FREQ_CD,CHAR(4),Y,Business Rule,VOBLE Business Rule,,VSOBL,T1051_PART_ADDRESS,PAYMENT_FIPS_CD,"Numb(9,0)",,,,,
,T1044_CASE,AUDIT_DT,DATE,,Default (Unused),,,VSOBL,T1049_COURT_ORDER,CHRG_FREQ_CD,Char(4),,,,,
,T1044_CASE,EMAN_STS_IND,CHAR(1),,Default (Unused),,,VSOBL,T1050_ORD_SUB_ACCT,FREQ_AMT,"Numb(10,2)",,,,,
,T1044_CASE,CREATE_CSENET_IND,CHAR(1),,Default (Unused),,,VSOBL,T1050_ORD_SUB_ACCT,FREQ_AMT,"Numb(10,2)",,,,,
,T1044_CASE,APPL_RETURN_DT,DATE,Y,Direct,,,VSOBL,T1049_COURT_ORDER,ORDER_START_DT,"Date(3,0)",,,,,
,T1044_CASE,LAST_DLQ_DT,DATE,,Default (Unused),,,VSOBL,T1049_COURT_ORDER,ORDER_END_DT,"Date(3,0)",,,,,
,T1044_CASE,INS_AVAIL_IND,CHAR(1),,Default (Unused),,,VSOBL,T1044_CASE,LAST_CHRG_DT,"Date(3,0)",,,,,
,T1044_CASE,INS_CHECK_AGAIN_DT,DATE,,Default (Unused),,,VSOBL,T1044_CASE,NEXT_CHARGE_DT,"Date(3,0)",,,,,
,T1044_CASE,FCR_RPT_IND,CHAR(1),,Default (Unused),,,VSOBL,T1049_COURT_ORDER,COURT_DT,"Date(3,0)",,,,,
,T1044_CASE,INTACT_FAM_IND,CHAR(1),,Default (Unused),,,VSOBL,T1049_COURT_ORDER,INS_PROV_BY_CD,Char(4),,,,,
,T1044_CASE,DCIS2_OPEN_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1044_CASE,DCIS2_CLOSE_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1044_CASE,AFDC_GRANT_AMT,"DECIMAL(10,2)",,Default (Unused),,,,,,,,,,,
,T1044_CASE,UNWORK_OVERRIDE_CD,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1044_CASE,PFA_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,WAGE_OVERRIDE_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,WAGE_UPFA_OVERRIDE,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,TFM_TRACKING_CD,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,TAX_EXCL_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,BILLING_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
,T1044_CASE,LEGAL_FILE_ID,CHAR(5),,Default (Unused),,,,,,,,,,,
,T1044_CASE,LAST_PMT_RCP_TYP,CHAR(4),,Default (Unused),,,,,,,,,,,
,T1044_CASE,DRA_FEE_ELIG_IND,CHAR(1),,Default (Unused),,,,,,,,,,,
VDEMO,T1045_AP_EXT,BIRTH_CITY,Char(16),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,BIRTH_STATE,Char(2),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,EYE_COLOR,Char(5),Y,Cross walk,,,,,,,,,,,
VDEMO,T1045_AP_EXT,HAIR_COLOR,Char(5),Y,Cross walk,,,,,,,,,,,
VDEMO,T1045_AP_EXT,HEIGHT,Char(5),Y,Business Rule,,,,,,,,,,,
VDEMO,T1045_AP_EXT,WEIGHT,"Numb(5,0)",Y,Direct,,,,,,,,,,,
,T1045_AP_EXT,MCI_NUM,VARCHAR(10),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,IDENT_MARKS,CHAR(18),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LICENSE_STATE,CHAR(2),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LICENSE_NUM,CHAR(12),,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,LAST_SEEN_DT,DATE,,Default (Unused),,,,,,,,,,,
,T1045_AP_EXT,MILITARY,CHAR(9),,Default (Unused),,,,,,,,,,,
